NoCiv,NoCivSuf,nomrue,OdoGener,OdoParti,OdoSpeci
305,,Chemin Newton,Chemin,,Newton
826,,Rue des Pâquerettes,Rue,des,Pâquerettes
2352,,Rue de Versailles,Rue,de,Versailles
2011,,Rue de Toulon,Rue,de,Toulon
2653,,Rue De Vigny,Rue,,De Vigny
2387,,Rue de Chenonceau,Rue,de,Chenonceau
3477,,Rue de Jean-Talon,Rue,de,Jean-Talon
1534,,Rue Beauchamp,Rue,,Beauchamp
2802,,Rue Chauvette,Rue,,Chauvette
2066,,Rue Glen Abbey,Rue,,Glen Abbey
1561,,Rue de Côte-d'Ivoire,Rue,de,Côte-d'Ivoire
2046,,Rue Devoyault,Rue,,Devoyault
275,,Montée Masson,Montée,,Masson
2695,,Croissant des Geais-Bleus,Croissant,des,Geais-Bleus
2676,,Rue du Verger,Rue,du,Verger
1105,,Avenue Louise,Avenue,,Louise
421,,Rue de Margaux,Rue,de,Margaux
1279,,Rue Robincrest,Rue,,Robincrest
1920,,Avenue de la Gare,Avenue,de la,Gare
2702,,Rue Dumont,Rue,,Dumont
3048,,Rue Jeannotte,Rue,,Jeannotte
2459,,Rue de Cannes,Rue,de,Cannes
966,,Rue Lapointe,Rue,,Lapointe
1317,,Chemin Saint-Henri,Chemin,,Saint-Henri
763,,Place de la Brise,Place,de la,Brise
1634,,Rue Joy,Rue,,Joy
1521,,Rue Labelle,Rue,,Labelle
1417,,Avenue de Normandie,Avenue,de,Normandie
1613,,Avenue de la Gare,Avenue,de la,Gare
200,,Place de Châtel,Place,de,Châtel
2581,,Rue De Vigny,Rue,,De Vigny
1308,,Avenue Garden,Avenue,,Garden
3039,,Rue Godbout,Rue,,Godbout
632,,Rue des Éperviers,Rue,des,Éperviers
1553,,Avenue de la Gare,Avenue,de la,Gare
324,,Rue des Busards,Rue,des,Busards
440,,Place Favery,Place,,Favery
1576,,Rue Joy,Rue,,Joy
230,,Rue Jordan,Rue,,Jordan
1225,,Rue d'Auvergne,Rue,d',Auvergne
1261,,Rue de Grande-Bretagne,Rue,de,Grande-Bretagne
389,,Croissant de Bourguignon,Croissant,de,Bourguignon
483,,Rue Private,Rue,,Private
2037,,Rue Rochon,Rue,,Rochon
1433,,Rue West,Rue,,West
141,,Chemin des Anglais,Chemin,des,Anglais
3388,,Rue de Papineau,Rue,de,Papineau
1459,,Rue du Panama,Rue,du,Panama
1877,,Rue Lamoureux,Rue,,Lamoureux
1500,,Rue Barott,Rue,,Barott
1349,,Avenue de Châteaubriant,Avenue,de,Châteaubriant
674,,Rue Duhamel,Rue,,Duhamel
1345,,Avenue de Châteaubriant,Avenue,de,Châteaubriant
2528,,Avenue de Maussac,Avenue,de,Maussac
450,,Rue Marchand,Rue,,Marchand
1309,,Rue de Norvège,Rue,de,Norvège
280,,Place de Cheverny,Place,de,Cheverny
2685,G,Chemin Sainte-Marie,Chemin,,Sainte-Marie
